Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa,Jumlah Penduduk,Jumlah Kepala Keluarga,Perpindahan Penduduk,Jumlah Meninggal,Perubahan Data,Wajib KTP,Jumlah Rekam Wajib KTP,Islam,Kristen,Katholik,Hindu,Buddha,Konghuchu,Kepercayaan terhadap Tuhan YME,Laki-laki,Perempuan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati,Usia 0-4 Tahun,Usia 5-9 Tahun,Usia 10-14 Tahun,Usia 15-19 Tahun,Usia 20-24 Tahun,Usia 25-29 Tahun,Usia 30-34 Tahun,Usia 35-39 Tahun,Usia 40-44 Tahun,Usia 45-49 Tahun,Usia 50-54 Tahun,Usia 55-59 Tahun,Usia 60-64 Tahun,Usia 65-69 Tahun,Usia 70-74 Tahun,Usia 75 Tahun ke Atas,Lahir Tahun 2020,Lahir Sebelum Tahun 2020,Lahir Tahun 2021,Lahir Sebelum Tahun 2021,Lahir Tahun 2022,Lahir Sebelum Tahun 2022,Lahir Tahun 2023,Lahir Sebelum Tahun 2023,Lahir Tahun 2024,Lahir Sebelum Tahun 2024,Pertumbuhan Penduduk Tahun 2020 (%),Pertumbuhan Penduduk Tahun 2021 (%),Pertumbuhan Penduduk Tahun 2022 (%),Pertumbuhan Penduduk Tahun 2023 (%),Pertumbuhan Penduduk Tahun 2024 (%),Usia Pendidikan 3-4 Tahun,Usia Pendidikan 5 Tahun,Usia Pendidikan 6-11 Tahun,Usia Pendidikan 12-14 Tahun,Usia Pendidikan 15-17 Tahun,Usia Pendidikan 18-22 Tahun,Tidak/Belum Sekolah,Belum Tamat SD,Tamat SD,SLTP,SLTA,D1 dan D2,D3,S1,S2,S3,Golongan Darah A,Golongan Darah B,Golongan Darah AB,Golongan Darah O,Golongan Darah A+,Golongan Darah A-,Golongan Darah B+,Golongan Darah B-,Golongan Darah AB+,Golongan Darah AB-,Golongan Darah O+,Golongan Darah O-,Golongan Darah Tidak Diketahui,Belum/Tidak Bekerja,Nelayan,Pelajar dan Mahasiswa,Pensiunan,Perdagangan,Mengurus Rumah Tannga,Wiraswasta,Guru,Perawat,Pengacara,Pekerjaan Lainnya
JAWA TIMUR,KAB. JEMBER,UMBULSARI,UMBULREJO,"4,699","1,659",5,4,"4,308","3,648","3,648","4,695",3,1,0,0,0,0,"2,362","2,337","1,838","2,491",135,235,240,325,334,325,329,310,318,331,395,348,356,348,290,187,124,139,78,"4,459",59,"4,537",50,"4,596",36,"4,646",17,"4,682",2,1,1,1,0,137,60,389,210,191,341,"1,115",484,"1,063",842,997,20,26,144,7,1,26,33,13,51,0,0,1,0,0,1,2,0,"4,572","1,263",2,524,15,89,786,789,38,4,,
JAWA TIMUR,KAB. JEMBER,BANGSALSARI,LANGKAP,"7,789","2,732",16,7,"5,653","5,882","5,882","7,785",3,0,1,0,0,0,"3,814","3,975","2,967","4,205",146,471,435,606,638,467,609,626,553,537,541,560,551,456,399,298,237,276,105,"7,354",102,"7,459",99,"7,561",73,"7,660",56,"7,733",1,1,1,1,1,207,137,711,396,276,533,"2,357","1,341","2,462",840,652,17,25,90,5,0,20,31,6,33,3,0,0,0,0,0,1,2,"7,693","2,124",1,804,14,38,"1,135","1,502",40,7,,
JAWA TIMUR,KAB. JEMBER,RAMBIPUJI,GUGUT,"5,828","2,021",23,8,"5,025","4,427","4,427","5,825",1,0,2,0,0,0,"2,916","2,912","2,188","3,163",111,366,336,466,427,357,459,459,390,374,432,405,426,306,343,218,185,245,74,"5,492",69,"5,566",75,"5,635",78,"5,710",40,"5,788",1,1,1,1,1,143,101,515,277,208,393,"1,725","1,224","1,832",548,408,6,17,64,3,1,26,21,10,38,2,0,1,0,0,0,0,1,"5,729","1,647",,553,12,48,"1,167",906,15,4,,
JAWA TIMUR,KAB. JEMBER,JENGGAWAH,JENGGAWAH,"16,953","6,066",44,49,"15,370","13,024","13,023","16,806",69,39,2,25,2,10,"8,509","8,444","6,476","9,099",405,973,916,"1,233","1,288",996,"1,319","1,310","1,259","1,221","1,282","1,168","1,213","1,105",842,678,527,596,222,"16,037",224,"16,259",186,"16,483",168,"16,669",116,"16,837",1,1,1,1,1,446,235,"1,499",787,582,"1,170","4,223","1,863","5,006","2,924","2,416",47,86,364,19,5,267,311,52,285,7,1,5,1,4,1,5,3,"16,011","4,221",1,"1,997",41,403,"3,188","3,580",95,12,,
JAWA TIMUR,KAB. JEMBER,JENGGAWAH,CANGKRING,"15,324","5,378",33,9,"13,485","11,578","11,575","15,318",0,3,0,2,0,1,"7,660","7,664","5,928","8,236",296,864,927,"1,137","1,178",957,"1,258","1,255","1,178","1,050","1,065","1,094","1,068",982,751,533,441,450,226,"14,397",197,"14,623",196,"14,820",188,"15,016",120,"15,204",2,1,1,1,1,423,236,"1,357",722,583,"1,074","4,215","1,811","5,056","2,265","1,635",26,72,221,22,1,181,151,61,284,2,1,4,0,3,0,1,1,"14,635","4,130",2,"1,653",23,206,"3,094","2,763",81,13,,
JAWA TIMUR,KAB. JEMBER,TEMPUREJO,TEMPUREJO,"16,579","5,680",77,32,"12,982","12,325","12,324","16,539",32,6,2,0,0,0,"8,250","8,329","6,596","8,774",270,939,"1,042","1,362","1,325","1,006","1,357","1,303","1,226","1,175","1,169","1,093","1,150",954,771,571,519,556,248,"15,537",250,"15,785",226,"16,035",189,"16,261",129,"16,450",2,2,1,1,1,498,277,"1,592",818,612,"1,179","4,852","2,266","5,127","2,164","1,735",41,82,299,12,1,64,71,27,118,1,0,1,1,1,1,6,5,"16,283","4,690",4,"1,810",53,201,"3,113","3,651",115,14,,
JAWA TIMUR,KAB. JEMBER,TEMPUREJO,SANENREJO,"8,275","3,018",16,10,"7,112","6,326","6,326","8,231",16,26,1,0,0,1,"4,182","4,093","3,073","4,657",195,350,479,558,662,520,670,541,559,609,672,648,547,541,464,293,234,278,119,"7,796",102,"7,915",102,"8,017",93,"8,119",63,"8,212",2,1,1,1,1,221,107,710,403,319,571,"2,568",839,"2,829","1,395",554,6,11,69,3,1,25,14,7,18,1,0,0,0,0,0,0,4,"8,206","2,145",1,826,5,76,"1,082","1,092",30,1,,
JAWA TIMUR,KAB. JEMBER,PATRANG,BINTORO,"11,826","4,135",28,15,"9,993","8,938","8,938","11,804",11,10,0,0,0,1,"5,923","5,903","4,284","6,758",257,527,697,909,927,692,952,889,821,887,950,838,843,728,575,406,309,403,174,"11,129",137,"11,303",155,"11,440",135,"11,595",96,"11,730",2,1,1,1,1,311,179,"1,063",594,445,769,"4,150","2,268","3,553",844,812,6,29,152,10,2,54,58,19,208,7,0,5,0,1,0,0,5,"11,469","3,555",1,758,29,235,"2,508","1,585",42,8,,
JAWA TIMUR,KAB. JEMBER,SUMBERSARI,SUMBERSARI,"30,993","10,176",143,158,"28,870","23,492","23,492","29,594",849,427,80,39,4,0,"15,163","15,830","13,361","15,078",810,"1,744","1,670","2,209","2,521","2,366","2,348","2,310","2,139","2,127","2,367","2,070","2,022","1,974","1,685","1,283",898,"1,004",414,"29,323",400,"29,737",333,"30,137",305,"30,470",218,"30,775",1,1,1,1,1,814,444,"2,686","1,600","1,439","2,279","7,830","3,131","3,290","3,117","6,669",307,"1,079","4,767",682,121,"1,072","1,695",510,"2,562",55,4,25,3,14,1,30,29,"24,993","8,884",1,"4,303",694,249,"5,032","4,234",447,63,12,
JAWA TIMUR,KAB. JEMBER,MUMBULSARI,LAMPEJI,"12,599","4,803",22,9,"10,340","9,656","9,656","12,593",1,0,5,0,0,0,"6,301","6,298","4,306","7,328",215,750,725,917,946,697,967,933,985,924,848,833,878,790,667,483,436,570,171,"11,874",153,"12,045",167,"12,198",165,"12,365",69,"12,530",1,1,1,1,1,324,193,"1,106",564,430,783,"3,816","1,926","4,694","1,144",820,16,30,147,4,2,32,33,14,55,2,0,1,0,1,0,1,1,"12,459","3,354",2,964,19,132,"2,871","2,371",54,6,,
JAWA TIMUR,KAB. JEMBER,KALISAT,GUMUKSARI,"5,481","2,084",13,16,"4,689","4,209","4,209","5,481",0,0,0,0,0,0,"2,672","2,809","1,929","3,108",108,336,334,392,377,334,433,425,380,354,398,392,380,314,271,238,192,267,78,"5,147",86,"5,225",60,"5,311",64,"5,371",46,"5,435",2,2,1,1,1,164,70,469,230,210,363,"1,542",582,"1,858",708,645,20,31,86,8,1,13,16,10,31,1,0,1,0,0,0,0,0,"5,409","1,687",,336,25,39,714,673,27,6,,
JAWA TIMUR,KAB. JEMBER,LEDOKOMBO,LEDOKOMBO,"4,814","1,882",10,14,"4,261","3,706","3,706","4,813",0,0,1,0,0,0,"2,331","2,483","1,650","2,752",129,283,274,323,351,286,381,348,343,299,324,343,330,263,247,226,182,294,60,"4,540",71,"4,600",53,"4,671",45,"4,724",45,"4,769",1,2,1,1,1,131,68,398,208,189,324,"1,582","1,181","1,291",394,293,9,10,51,3,0,8,9,1,12,2,0,1,0,0,0,1,3,"4,777","1,338",1,365,12,40,939,496,18,,,
JAWA TIMUR,KAB. JEMBER,SUMBERJAMBE,PRINGGONDANI,"6,625","2,560",11,4,"5,407","5,136","5,136","6,625",0,0,0,0,0,0,"3,229","3,396","2,120","4,039",85,381,344,479,455,309,441,486,511,504,464,418,483,499,353,283,219,377,88,"6,281",92,"6,369",72,"6,461",60,"6,533",32,"6,593",1,1,1,1,0,180,82,561,291,225,322,"3,293","1,119","1,624",340,202,4,9,30,2,2,12,7,4,11,8,1,0,0,0,0,0,2,"6,580","1,650",1,425,1,83,"1,520",393,17,2,,
